Tenant,ID
khonggianlavn.onmicrosoft.com,2fd59c60-827a-4b99-9a49-d2e0bb391eac
nghetinhportvn.onmicrosoft.com,bf83801b-566a-47e5-bed9-fd27878e0604
thegioinhaxinh.onmicrosoft.com,433a55d4-ce8f-40a4-9644-3b2202f9565b
fiberwood.onmicrosoft.com,7589d418-6a0a-412d-ae4b-35de25a30ef0
mb2878050.onmicrosoft.com,142937f6-dfdf-4cf9-91d9-ea9758955d67
glofood.onmicrosoft.com,03ca34d8-c3dc-4d80-9077-258c15c1ef8a
daohospitalitycom.onmicrosoft.com,083d22e5-4ae1-47c7-88b2-11dee4786214
econetworkvn.onmicrosoft.com,a0900ad2-71ef-4034-9e9d-607854f04dfa
blueoceanjscasia.onmicrosoft.com,64bfdc1d-f52f-48dc-8728-4ad92d55b755
weishengindustrycom.onmicrosoft.com,176e2cb0-1e17-4dff-82e2-54f982a84f95
uchuyendung.onmicrosoft.com,5f2a29e7-080e-40a8-bbad-ff807e11c167
4bmvn.onmicrosoft.com,fab6cca3-bdfe-4c61-96e2-fa09942b4c31
hoanganphat.onmicrosoft.com,729b3dc7-6c26-406f-b6bc-e3c0cc88070b
khangkhanhan.onmicrosoft.com,d1916f50-1879-4d10-8b0f-768380f7e65b
sebangbatteryvietnam.onmicrosoft.com,317e12e2-21ff-4266-8b27-ab22505eb5d0
ingrelife.onmicrosoft.com,fcaf1710-c9ef-402d-b5b8-08a203593395
greenerfuturevn.onmicrosoft.com,b6d4ad2f-2360-46b0-8be8-b0e19a7ebfa2
neovationsoftcom.onmicrosoft.com,f1c4fd3a-97b0-44dc-9dd7-6a7b1ff59492
pro203x01.onmicrosoft.com,db504308-0fce-4613-ad26-f10f5047c936
pro202x01.onmicrosoft.com,91c97861-4d03-4f4c-a980-14aa309b942d
keimain.onmicrosoft.com,763c023f-6e3c-4346-88e0-e3b7f68ecfe2
baolambpovn.onmicrosoft.com,a2d19229-d980-4830-85de-6e27aa50bb25
invedia.onmicrosoft.com,0be91f29-570e-45f8-8bdb-71ed640a15e3
scorpioncapitalvn.onmicrosoft.com,c823d2e7-0a41-482a-b3ec-ad74cedf083a
sgmkvn.onmicrosoft.com,6b586bbf-87b4-4961-9ac7-d7d15c443750
benhvienmatphuongnam.onmicrosoft.com,6e73029c-f1f3-4238-b8ef-16ceb2008f8b
gentechsoftcom.onmicrosoft.com,669d9bb8-975b-4e77-b257-f447df012e7f
deltaimpex.onmicrosoft.com,fdd4508c-772a-4634-bab5-e9814fc87fae
369superfood.onmicrosoft.com,5033dd6f-5ab9-4889-a934-540ad4567e4c
maitrucly.onmicrosoft.com,3756147f-d984-4cc9-a98d-db8daee02d13
vinnetvn.onmicrosoft.com,678c9fdf-336a-4e93-99f7-8a3d19a0f5bd
nganlocthuy.onmicrosoft.com,4cc01564-b0e3-4476-b8fb-84bbd1ab6a5f
namtrungmedicalcomvn.onmicrosoft.com,74e3c905-c786-47de-8dc9-195dab6566e2
asiavivatravel.onmicrosoft.com,c3f77366-e804-4014-b424-19d3205ecb54
vietartvnvn.onmicrosoft.com,5084be83-f021-476d-b6bd-18c6ada8d61d
kensetsugrpcom.onmicrosoft.com,41f2ba90-4ffc-4028-b9fb-417cf190f155
uscommunicationsvn.onmicrosoft.com,70ac3124-0588-4ccd-8bb4-13ba7dc81f51
tmautovn.onmicrosoft.com,87b7ddbb-a0cb-443b-a35d-e889b9d2733e
cffoodvn.onmicrosoft.com,8d5a9aa7-ef27-4d64-9093-cf0b19a54ce2
3consoi.onmicrosoft.com,efde4b0e-407a-439d-80bb-c86f751a2513
greatasiatravel.onmicrosoft.com,30ece696-0bbb-49fa-b2c8-d196643a0cf2
eneogls.onmicrosoft.com,d1a07799-9068-48af-9f33-4cb30c87dade
srovngroupcom.onmicrosoft.com,93ff688b-0714-413d-8cc5-5c01d7558212
unifamvietnamcom.onmicrosoft.com,e0e2ab7e-e1c8-4db8-bb4c-97b1b9734f78
trxvietnam.onmicrosoft.com,08d1ce0a-cfb6-4028-bfc4-e62c9deb461c
thuongnhat.onmicrosoft.com,530ca052-fbb1-4cf0-a04d-8e8bb2588cb0
stvcapitalvn.onmicrosoft.com,4b5330ae-663d-40f2-a8ac-c45bd6606e4c
cdsoverseascomvn.onmicrosoft.com,31adcf01-2c0d-4407-a890-48da838a8caf
hmsing.onmicrosoft.com,590a4664-7d1f-4c45-a52e-a64f5862fd93
pro66x01.onmicrosoft.com,5a70548a-e044-44d2-9e89-0fcba5de914e
kosq.onmicrosoft.com,0fa2b0ab-eb3a-4aad-a2a8-f8e9ca08aa6f
premierfoodvn.onmicrosoft.com,536978f9-c494-4d92-99ca-6cf7a56fa240
clllogistics.onmicrosoft.com,aa4a9125-d6f6-45c4-8363-18aa5a735306
telicocomvn.onmicrosoft.com,0d117c77-fd50-40cb-92ca-a2ed11f50a8c
vietstandard.onmicrosoft.com,91493d99-0265-4177-8190-6a3653814559
